ST_RT_NO,CTY_CODE,JURIS,SEG_NO,LANE_CNT,STREET_NAME,TRAF_RT_NO_PREFIX,SIDE_IND,ROUTE_DIR,SPEED_LIMIT,STREET_NAME_NO_SUF,STREET_SUF,RTESIGNING,OBJECTID,GEOMETRYLEN
AIH5,02,4,0010,2,VINE ST,,1,B,25,VINE ,ST,4,3757962,0
AIH5,02,4,0020,2,VINE ST,,1,B,25,VINE ,ST,4,3757963,0
AIH5,02,4,0030,2,VINE ST,,1,B,25,VINE ,ST,4,3757964,0
AIIV,02,4,0010,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758130,0
AIIV,02,4,0020,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758131,0
AIIV,02,4,0030,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758132,0
AIIV,02,4,0040,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758133,0
AIIV,02,4,0050,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758134,0
AIIV,02,4,0060,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758135,0
AIIV,02,4,0070,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758136,0
AIIV,02,4,0080,2,WATSON ST,,1,B,25,WATSON ,ST,4,3758137,0
AIJ5,02,4,0010,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758162,0
AIJ5,02,4,0020,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758163,0
AIJ5,02,4,0030,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758164,0
AIJ5,02,4,0040,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758165,0
AIJ5,02,4,0050,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758166,0
AIJ5,02,4,0060,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758167,0
AIJ5,02,4,0070,2,WEBSTER AV,,1,B,25,WEBSTER ,AV,4,3758168,0
AIMN,02,4,0010,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758550,0
AIMN,02,4,0020,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758551,0
AIMN,02,4,0030,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758552,0
AIMN,02,4,0040,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758553,0
AIMN,02,4,0050,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758554,0
AIMN,02,4,0060,2,WYLIE AV,,1,B,25,WYLIE ,AV,4,3758555,0
